Year,Div,Team,Wins
1991,East,BOS,56
1991,East,PHI,44
1991,East,NYK,39
1991,East,WSB,30
1991,East,NJN,26
1991,East,MIA,24
1991,East,CHI,61
1991,East,DET,50
1991,East,MIL,48
1991,East,ATL,43
1991,East,IND,41
1991,East,CLE,33
1991,East,CHH,26
1991,West,SAS,55
1991,West,UTA,54
1991,West,HOU,52
1991,West,ORL,31
1991,West,MIN,29
1991,West,DAL,28
1991,West,DEN,20
1991,West,POR,63
1991,West,LAL,58
1991,West,PHO,55
1991,West,GSW,44
1991,West,SEA,41
1991,West,LAC,31
1991,West,SAC,25
1992,East,BOS,51
1992,East,NYK,51
1992,East,NJN,40
1992,East,MIA,38
1992,East,PHI,35
1992,East,WSB,25
1992,East,ORL,21
1992,East,CHI,67
1992,East,CLE,57
1992,East,DET,48
1992,East,IND,40
1992,East,ATL,38
1992,East,MIL,31
1992,East,CHH,31
1992,West,UTA,55
1992,West,SAS,47
1992,West,HOU,42
1992,West,DEN,24
1992,West,DAL,22
1992,West,MIN,15
1992,West,POR,57
1992,West,GSW,55
1992,West,PHO,53
1992,West,SEA,47
1992,West,LAC,45
1992,West,LAL,43
1992,West,SAC,29
1993,East,NYK,60
1993,East,BOS,48
1993,East,NJN,43
1993,East,ORL,41
1993,East,MIA,36
1993,East,PHI,26
1993,East,WSB,22
1993,East,CHI,57
1993,East,CLE,54
1993,East,CHH,44
1993,East,ATL,43
1993,East,IND,41
1993,East,DET,40
1993,East,MIL,28
1993,West,HOU,55
1993,West,SAS,49
1993,West,UTA,47
1993,West,DEN,36
1993,West,MIN,19
1993,West,DAL,11
1993,West,PHO,62
1993,West,SEA,55
1993,West,POR,51
1993,West,LAC,41
1993,West,LAL,39
1993,West,GSW,34
1993,West,SAC,25
1994,East,NYK,57
1994,East,ORL,50
1994,East,NJN,45
1994,East,MIA,42
1994,East,BOS,32
1994,East,PHI,25
1994,East,WSB,24
1994,East,ATL,57
1994,East,CHI,55
1994,East,IND,47
1994,East,CLE,47
1994,East,CHH,41
1994,East,MIL,20
1994,East,DET,20
1994,West,HOU,58
1994,West,SAS,55
1994,West,UTA,53
1994,West,DEN,42
1994,West,MIN,20
1994,West,DAL,13
1994,West,SEA,63
1994,West,PHO,56
1994,West,GSW,50
1994,West,POR,47
1994,West,LAL,33
1994,West,SAC,28
1994,West,LAC,27
1995,East,ORL,57
1995,East,NYK,55
1995,East,BOS,35
1995,East,MIA,32
1995,East,NJN,30
1995,East,PHI,24
1995,East,WSB,21
1995,East,IND,52
1995,East,CHH,50
1995,East,CHI,47
1995,East,CLE,43
1995,East,ATL,42
1995,East,MIL,34
1995,East,DET,28
1995,West,SAS,62
1995,West,UTA,60
1995,West,HOU,47
1995,West,DEN,41
1995,West,DAL,36
1995,West,MIN,21
1995,West,PHO,59
1995,West,SEA,57
1995,West,LAL,48
1995,West,POR,44
1995,West,SAC,39
1995,West,GSW,26
1995,West,LAC,17
1996,East,ORL,60
1996,East,NYK,47
1996,East,MIA,42
1996,East,WSB,39
1996,East,BOS,33
1996,East,NJN,30
1996,East,PHI,18
1996,East,CHI,72
1996,East,IND,52
1996,East,CLE,47
1996,East,ATL,46
1996,East,DET,46
1996,East,CHH,41
1996,East,MIL,25
1996,East,TOR,21
1996,West,SAS,59
1996,West,UTA,55
1996,West,HOU,48
1996,West,DEN,35
1996,West,MIN,26
1996,West,DAL,26
1996,West,VAN,15
1996,West,SEA,64
1996,West,LAL,53
1996,West,POR,44
1996,West,PHO,41
1996,West,SAC,39
1996,West,GSW,36
1996,West,LAC,29
1997,East,MIA,61
1997,East,NYK,57
1997,East,ORL,45
1997,East,WSB,44
1997,East,NJN,26
1997,East,PHI,22
1997,East,BOS,15
1997,East,CHI,69
1997,East,ATL,56
1997,East,DET,54
1997,East,CHH,54
1997,East,CLE,42
1997,East,IND,39
1997,East,MIL,33
1997,East,TOR,30
1997,West,UTA,64
1997,West,HOU,57
1997,West,MIN,40
1997,West,DAL,24
1997,West,DEN,21
1997,West,SAS,20
1997,West,VAN,14
1997,West,SEA,57
1997,West,LAL,56
1997,West,POR,49
1997,West,PHO,40
1997,West,LAC,36
1997,West,SAC,34
1997,West,GSW,30
1998,East,MIA,55
1998,East,NYK,43
1998,East,NJN,43
1998,East,WAS,42
1998,East,ORL,41
1998,East,BOS,36
1998,East,PHI,31
1998,East,CHI,62
1998,East,IND,58
1998,East,CHH,51
1998,East,ATL,50
1998,East,CLE,47
1998,East,DET,37
1998,East,MIL,36
1998,East,TOR,16
1998,West,UTA,62
1998,West,SAS,56
1998,West,MIN,45
1998,West,HOU,41
1998,West,DAL,20
1998,West,VAN,19
1998,West,DEN,11
1998,West,SEA,61
1998,West,LAL,61
1998,West,PHO,56
1998,West,POR,46
1998,West,SAC,27
1998,West,GSW,19
1998,West,LAC,17
1999,East,MIA,33
1999,East,ORL,33
1999,East,PHI,28
1999,East,NYK,27
1999,East,BOS,19
1999,East,WAS,18
1999,East,NJN,16
1999,East,IND,33
1999,East,ATL,31
1999,East,DET,29
1999,East,MIL,28
1999,East,CHH,26
1999,East,TOR,23
1999,East,CLE,22
1999,East,CHI,13
1999,West,SAS,37
1999,West,UTA,37
1999,West,HOU,31
1999,West,MIN,25
1999,West,DAL,19
1999,West,DEN,14
1999,West,VAN,8
1999,West,POR,35
1999,West,LAL,31
1999,West,PHO,27
1999,West,SAC,27
1999,West,SEA,25
1999,West,GSW,21
1999,West,LAC,9
2000,East,MIA,52
2000,East,NYK,50
2000,East,PHI,49
2000,East,ORL,41
2000,East,BOS,35
2000,East,NJN,31
2000,East,WAS,29
2000,East,IND,56
2000,East,CHH,49
2000,East,TOR,45
2000,East,DET,42
2000,East,MIL,42
2000,East,CLE,32
2000,East,ATL,28
2000,East,CHI,17
2000,West,UTA,55
2000,West,SAS,53
2000,West,MIN,50
2000,West,DAL,40
2000,West,DEN,35
2000,West,HOU,34
2000,West,VAN,22
2000,West,LAL,67
2000,West,POR,59
2000,West,PHO,53
2000,West,SEA,45
2000,West,SAC,44
2000,West,GSW,19
2000,West,LAC,15
2001,East,PHI,56
2001,East,MIA,50
2001,East,NYK,48
2001,East,ORL,43
2001,East,BOS,36
2001,East,NJN,26
2001,East,WAS,19
2001,East,MIL,52
2001,East,TOR,47
2001,East,CHH,46
2001,East,IND,41
2001,East,DET,32
2001,East,CLE,30
2001,East,ATL,25
2001,East,CHI,15
2001,West,SAS,58
2001,West,UTA,53
2001,West,DAL,53
2001,West,MIN,47
2001,West,HOU,45
2001,West,DEN,40
2001,West,VAN,23
2001,West,LAL,56
2001,West,SAC,55
2001,West,PHO,51
2001,West,POR,50
2001,West,SEA,44
2001,West,LAC,31
2001,West,GSW,17
2002,East,NJN,52
2002,East,BOS,49
2002,East,ORL,44
2002,East,PHI,43
2002,East,WAS,37
2002,East,MIA,36
2002,East,NYK,30
2002,East,DET,50
2002,East,CHH,44
2002,East,TOR,42
2002,East,IND,42
2002,East,MIL,41
2002,East,ATL,33
2002,East,CLE,29
2002,East,CHI,21
2002,West,SAS,58
2002,West,DAL,57
2002,West,MIN,50
2002,West,UTA,44
2002,West,HOU,28
2002,West,DEN,27
2002,West,MEM,23
2002,West,SAC,61
2002,West,LAL,58
2002,West,POR,49
2002,West,SEA,45
2002,West,LAC,39
2002,West,PHO,36
2002,West,GSW,21
2003,East,NJN,49
2003,East,PHI,48
2003,East,BOS,44
2003,East,ORL,42
2003,East,WAS,37
2003,East,NYK,37
2003,East,MIA,25
2003,East,DET,50
2003,East,IND,48
2003,East,NOH,47
2003,East,MIL,42
2003,East,ATL,35
2003,East,CHI,30
2003,East,TOR,24
2003,East,CLE,17
2003,West,SAS,60
2003,West,DAL,60
2003,West,MIN,51
2003,West,UTA,47
2003,West,HOU,43
2003,West,MEM,28
2003,West,DEN,17
2003,West,SAC,59
2003,West,LAL,50
2003,West,POR,50
2003,West,PHO,44
2003,West,SEA,40
2003,West,GSW,38
2003,West,LAC,27
2004,East,NJN,47
2004,East,MIA,42
2004,East,NYK,39
2004,East,BOS,36
2004,East,PHI,33
2004,East,WAS,25
2004,East,ORL,21
2004,East,IND,61
2004,East,DET,54
2004,East,NOH,41
2004,East,MIL,41
2004,East,CLE,35
2004,East,TOR,33
2004,East,ATL,28
2004,East,CHI,23
2004,West,MIN,58
2004,West,SAS,57
2004,West,DAL,52
2004,West,MEM,50
2004,West,HOU,45
2004,West,DEN,43
2004,West,UTA,42
2004,West,LAL,56
2004,West,SAC,55
2004,West,POR,41
2004,West,GSW,37
2004,West,SEA,37
2004,West,PHO,29
2004,West,LAC,28
2005,East,BOS,45
2005,East,PHI,43
2005,East,NJN,42
2005,East,TOR,33
2005,East,NYK,33
2005,East,DET,54
2005,East,CHI,47
2005,East,IND,44
2005,East,CLE,42
2005,East,MIL,30
2005,East,MIA,59
2005,East,WAS,45
2005,East,ORL,36
2005,East,CHA,18
2005,East,ATL,13
2005,West,SEA,52
2005,West,DEN,49
2005,West,MIN,44
2005,West,POR,27
2005,West,UTA,26
2005,West,PHO,62
2005,West,SAC,50
2005,West,LAC,37
2005,West,LAL,34
2005,West,GSW,34
2005,West,SAS,59
2005,West,DAL,58
2005,West,HOU,51
2005,West,MEM,45
2005,West,NOH,18
2006,East,NJN,49
2006,East,PHI,38
2006,East,BOS,33
2006,East,TOR,27
2006,East,NYK,23
2006,East,DET,64
2006,East,CLE,50
2006,East,IND,41
2006,East,CHI,41
2006,East,MIL,40
2006,East,MIA,52
2006,East,WAS,42
2006,East,ORL,36
2006,East,CHA,26
2006,East,ATL,26
2006,West,DEN,44
2006,West,UTA,41
2006,West,SEA,35
2006,West,MIN,33
2006,West,POR,21
2006,West,PHO,54
2006,West,LAC,47
2006,West,LAL,45
2006,West,SAC,44
2006,West,GSW,34
2006,West,SAS,63
2006,West,DAL,60
2006,West,MEM,49
2006,West,NOK,38
2006,West,HOU,34
2007,East,TOR,47
2007,East,NJN,41
2007,East,PHI,35
2007,East,NYK,33
2007,East,BOS,24
2007,East,DET,53
2007,East,CLE,50
2007,East,CHI,49
2007,East,IND,35
2007,East,MIL,28
2007,East,MIA,44
2007,East,WAS,41
2007,East,ORL,40
2007,East,CHA,33
2007,East,ATL,30
2007,West,UTA,51
2007,West,DEN,45
2007,West,POR,32
2007,West,MIN,32
2007,West,SEA,31
2007,West,PHO,61
2007,West,LAL,42
2007,West,GSW,42
2007,West,LAC,40
2007,West,SAC,33
2007,West,DAL,67
2007,West,SAS,58
2007,West,HOU,52
2007,West,NOK,39
2007,West,MEM,22
2008,East,BOS,66
2008,East,TOR,41
2008,East,PHI,40
2008,East,NJN,34
2008,East,NYK,23
2008,East,DET,59
2008,East,CLE,45
2008,East,IND,36
2008,East,CHI,33
2008,East,MIL,26
2008,East,ORL,52
2008,East,WAS,43
2008,East,ATL,37
2008,East,CHA,32
2008,East,MIA,15
2008,West,UTA,54
2008,West,DEN,50
2008,West,POR,41
2008,West,MIN,22
2008,West,SEA,20
2008,West,LAL,57
2008,West,PHO,55
2008,West,GSW,48
2008,West,SAC,38
2008,West,LAC,23
2008,West,NOH,56
2008,West,SAS,56
2008,West,HOU,55
2008,West,DAL,51
2008,West,MEM,22
2009,East,BOS,62
2009,East,PHI,41
2009,East,NJN,34
2009,East,TOR,33
2009,East,NYK,32
2009,East,CLE,66
2009,East,CHI,41
2009,East,DET,39
2009,East,IND,36
2009,East,MIL,34
2009,East,ORL,59
2009,East,ATL,47
2009,East,MIA,43
2009,East,CHA,35
2009,East,WAS,19
2009,West,DEN,54
2009,West,POR,54
2009,West,UTA,48
2009,West,MIN,24
2009,West,OKC,23
2009,West,LAL,65
2009,West,PHO,46
2009,West,GSW,29
2009,West,LAC,19
2009,West,SAC,17
2009,West,SAS,54
2009,West,HOU,53
2009,West,DAL,50
2009,West,NOH,49
2009,West,MEM,24
2010,East,BOS,50
2010,East,TOR,40
2010,East,NYK,29
2010,East,PHI,27
2010,East,NJN,12
2010,East,CLE,61
2010,East,MIL,46
2010,East,CHI,41
2010,East,IND,32
2010,East,DET,27
2010,East,ORL,59
2010,East,ATL,53
2010,East,MIA,47
2010,East,CHA,44
2010,East,WAS,26
2010,West,DEN,53
2010,West,UTA,53
2010,West,POR,50
2010,West,OKC,50
2010,West,MIN,15
2010,West,LAL,57
2010,West,PHO,54
2010,West,LAC,29
2010,West,GSW,26
2010,West,SAC,25
2010,West,DAL,55
2010,West,SAS,50
2010,West,HOU,42
2010,West,MEM,40
2010,West,NOH,37
2011,East,BOS,56
2011,East,NYK,42
2011,East,PHI,41
2011,East,NJN,24
2011,East,TOR,22
2011,East,CHI,62
2011,East,IND,37
2011,East,MIL,35
2011,East,DET,30
2011,East,CLE,19
2011,East,MIA,58
2011,East,ORL,52
2011,East,ATL,44
2011,East,CHA,34
2011,East,WAS,23
2011,West,OKC,55
2011,West,DEN,50
2011,West,POR,48
2011,West,UTA,39
2011,West,MIN,17
2011,West,LAL,57
2011,West,PHO,40
2011,West,GSW,36
2011,West,LAC,32
2011,West,SAC,24
2011,West,SAS,61
2011,West,DAL,57
2011,West,NOH,46
2011,West,MEM,46
2011,West,HOU,43
2012,East,BOS,39
2012,East,NYK,36
2012,East,PHI,35
2012,East,TOR,23
2012,East,NJN,22
2012,East,CHI,50
2012,East,IND,42
2012,East,MIL,31
2012,East,DET,25
2012,East,CLE,21
2012,East,MIA,46
2012,East,ATL,40
2012,East,ORL,37
2012,East,WAS,20
2012,East,CHA,7
2012,West,OKC,47
2012,West,DEN,38
2012,West,UTA,36
2012,West,POR,28
2012,West,MIN,26
2012,West,LAL,41
2012,West,LAC,40
2012,West,PHO,33
2012,West,GSW,23
2012,West,SAC,22
2012,West,SAS,50
2012,West,MEM,41
2012,West,DAL,36
2012,West,HOU,34
2012,West,NOH,21
2013,East,NYK,54
2013,East,BRK,49
2013,East,BOS,41
2013,East,PHI,34
2013,East,TOR,34
2013,East,IND,49
2013,East,CHI,45
2013,East,MIL,38
2013,East,DET,29
2013,East,CLE,24
2013,East,MIA,66
2013,East,ATL,44
2013,East,WAS,29
2013,East,CHA,21
2013,East,ORL,20
2013,West,OKC,60
2013,West,DEN,57
2013,West,UTA,43
2013,West,POR,33
2013,West,MIN,31
2013,West,LAC,56
2013,West,GSW,47
2013,West,LAL,45
2013,West,SAC,28
2013,West,PHO,25
2013,West,SAS,58
2013,West,MEM,56
2013,West,HOU,45
2013,West,DAL,41
2013,West,NOH,27
2014,East,TOR,48
2014,East,BRK,44
2014,East,NYK,37
2014,East,BOS,25
2014,East,PHI,19
2014,East,IND,56
2014,East,CHI,48
2014,East,CLE,33
2014,East,DET,29
2014,East,MIL,15
2014,East,MIA,54
2014,East,WAS,44
2014,East,CHA,43
2014,East,ATL,38
2014,East,ORL,23
2014,West,OKC,59
2014,West,POR,54
2014,West,MIN,40
2014,West,DEN,36
2014,West,UTA,25
2014,West,LAC,57
2014,West,GSW,51
2014,West,PHO,48
2014,West,SAC,28
2014,West,LAL,27
2014,West,SAS,62
2014,West,HOU,54
2014,West,MEM,50
2014,West,DAL,49
2014,West,NOP,34
2015,East,TOR,49
2015,East,BOS,40
2015,East,BRK,38
2015,East,PHI,18
2015,East,NYK,17
2015,East,CLE,53
2015,East,CHI,50
2015,East,MIL,41
2015,East,IND,38
2015,East,DET,32
2015,East,ATL,60
2015,East,WAS,46
2015,East,MIA,37
2015,East,CHO,33
2015,East,ORL,25
2015,West,POR,51
2015,West,OKC,45
2015,West,UTA,38
2015,West,DEN,30
2015,West,MIN,16
2015,West,GSW,67
2015,West,LAC,56
2015,West,PHO,39
2015,West,SAC,29
2015,West,LAL,21
2015,West,HOU,56
2015,West,SAS,55
2015,West,MEM,55
2015,West,DAL,50
2015,West,NOP,45
2016,East,CLE,57
2016,East,TOR,56
2016,East,MIA,48
2016,East,ATL,48
2016,East,BOS,48
2016,East,CHO,48
2016,East,IND,45
2016,East,DET,44
2016,East,CHI,42
2016,East,WAS,41
2016,East,ORL,35
2016,East,MIL,33
2016,East,NYK,32
2016,East,BRK,21
2016,East,PHI,10
2016,West,GSW,73
2016,West,SAS,67
2016,West,OKC,55
2016,West,LAC,53
2016,West,POR,44
2016,West,DAL,42
2016,West,MEM,42
2016,West,HOU,41
2016,West,UTA,40
2016,West,SAC,33
2016,West,DEN,33
2016,West,NOP,30
2016,West,MIN,29
2016,West,PHO,23
2016,West,LAL,17
2017,East,BOS,53
2017,East,CLE,51
2017,East,TOR,51
2017,East,WAS,49
2017,East,ATL,43
2017,East,MIL,42
2017,East,IND,42
2017,East,CHI,41
2017,East,MIA,41
2017,East,DET,37
2017,East,CHO,36
2017,East,NYK,31
2017,East,ORL,29
2017,East,PHI,28
2017,East,BRK,20
2017,West,GSW,67
2017,West,SAS,61
2017,West,HOU,55
2017,West,LAC,51
2017,West,UTA,51
2017,West,OKC,47
2017,West,MEM,43
2017,West,POR,41
2017,West,DEN,40
2017,West,NOP,34
2017,West,DAL,33
2017,West,SAC,32
2017,West,MIN,31
2017,West,LAL,26
2017,West,PHO,24
