Team,Year,Player,Salary
NYK,1993,Patrick Ewing,3300000
NYK,1993,Rolando Blackman,1500000
NYK,1993,Tony Campbell,1383000
NYK,1993,Charles Smith,1250000
NYK,1993,Greg Anthony,1067000
NYK,1993,Charles Oakley,1050000
NYK,1993,Doc Rivers,895000
NYK,1993,Bo Kimble,865000
NYK,1993,Tim McCormick,660000
NYK,1993,John Starks,600000
NYK,1993,Hubert Davis,588000
NYK,1993,Herb Williams,430000
NYK,1993,Anthony Mason,273000
NYK,1993,Eric Anderson,140000
BOS,1993,Robert Parish,3513000
BOS,1993,Kevin McHale,3500000
BOS,1993,Reggie Lewis,3320000
BOS,1993,Larry Bird,2300000
BOS,1993,Xavier McDaniel,1869000
BOS,1993,Sherman Douglas,1869000
BOS,1993,Kevin Gamble,1200000
BOS,1993,Joe Kleine,1150000
BOS,1993,Ed Pinckney,1150000
BOS,1993,Dee Brown,865000
BOS,1993,Stojko Vrankovic,831000
BOS,1993,Dino Radja,711000
BOS,1993,Rick Fox,650000
BOS,1993,Michael Smith,650000
BOS,1993,John Bagley,550000
BOS,1993,Alaa Abdelnaby,500000
BOS,1993,A.J. Wynder,140000
BOS,1993,Marcus Webb,140000
BOS,1993,Bart Kofoed,140000
BOS,1993,Kenny Battle,140000
BOS,1993,Joe Wolf,29000
NJN,1993,Derrick Coleman,2870000
NJN,1993,Sam Bowie,2600000
NJN,1993,Kenny Anderson,2376000
NJN,1993,Drazen Petrovic,1615000
NJN,1993,Chris Morris,1510000
NJN,1993,Rumeal Robinson,1225000
NJN,1993,Chris Dudley,1200000
NJN,1993,Jayson Williams,800000
NJN,1993,Tate George,551000
NJN,1993,Rafael Addison,522000
NJN,1993,Rick Mahorn,500000
NJN,1993,Chucky Brown,140000
NJN,1993,Dan O'Sullivan,140000
NJN,1993,Dwayne Schintzius,140000
NJN,1993,Doug Lee,125000
ORL,1993,Shaquille O'Neal,3000000
ORL,1993,Dennis Scott,2400000
ORL,1993,Scott Skiles,1348000
ORL,1993,Terry Catledge,1086000
ORL,1993,Bison Dele,1011000
ORL,1993,Jerry Reynolds,910000
ORL,1993,Anthony Bowie,900000
ORL,1993,Lester Conner,890000
ORL,1993,Nick Anderson,800000
ORL,1993,Greg Kite,775000
ORL,1993,Jeff Turner,700000
ORL,1993,Steve Kerr,550000
ORL,1993,Chris Corchiani,300000
ORL,1993,Litterial Green,140000
ORL,1993,Donald Royal,140000
ORL,1993,Ron Grandison,15000
ORL,1993,Howard Wright,5000
MIA,1993,Rony Seikaly,2382000
MIA,1993,Steve Smith,2252000
MIA,1993,John Salley,2002000
MIA,1993,Glen Rice,1552000
MIA,1993,Brian Shaw,1413000
MIA,1993,Grant Long,1258000
MIA,1993,Harold Miner,912000
MIA,1993,Willie Burton,802000
MIA,1993,Alec Kessler,762000
MIA,1993,Kevin Edwards,750000
MIA,1993,Bimbo Coles,650000
MIA,1993,Keith Askins,250000
MIA,1993,Matt Geiger,140000
PHI,1993,Hersey Hawkins,2400000
PHI,1993,Armen Gilliam,2300000
PHI,1993,Johnny Dawkins,1900000
PHI,1993,Charles Shackleford,1720000
PHI,1993,Manute Bol,1650000
PHI,1993,Jeff Hornacek,1646000
PHI,1993,Andrew Lang,1040000
PHI,1993,Ron Anderson,950000
PHI,1993,Tim Perry,900000
PHI,1993,Clarence Weatherspoon,800000
PHI,1993,Kenny Payne,500000
PHI,1993,Eddie Lee Wilkins,500000
PHI,1993,Brian Oliver,456000
PHI,1993,Mitchell Wiggins,335000
PHI,1993,Greg Grant,270000
WSB,1993,Bernard King,2500000
WSB,1993,Pervis Ellison,2300000
WSB,1993,Rex Chapman,2004000
WSB,1993,Harvey Grant,1625000
WSB,1993,Michael Adams,1309000
WSB,1993,Tom Gugliotta,1250000
WSB,1993,William Bedford,925000
WSB,1993,Charles Jones,875000
WSB,1993,Ledell Eackles,780000
WSB,1993,LaBradford Smith,760000
WSB,1993,Buck Johnson,550000
WSB,1993,Larry Stewart,500000
WSB,1993,Don MacLean,463000
WSB,1993,Greg Foster,439000
WSB,1993,A.J. English,406000
WSB,1993,Brent Price,283000
WSB,1993,Doug Overton,140000
WSB,1993,Andre Turner,140000
CHI,1993,Michael Jordan,4000000
CHI,1993,Scottie Pippen,3425000
CHI,1993,Bill Cartwright,2200000
CHI,1993,Horace Grant,1900000
CHI,1993,Stacey King,1400000
CHI,1993,John Paxson,1200000
CHI,1993,Rodney McCray,1075000
CHI,1993,Will Perdue,625000
CHI,1993,Scott Williams,613000
CHI,1993,Bob Hansen,600000
CHI,1993,B.J. Armstrong,540000
CHI,1993,Craig Hodges,400000
CHI,1993,Trent Tucker,350000
CHI,1993,Corey Williams,200000
CHI,1993,Ricky Blanton,8000
CLE,1993,Hot Rod Williams,3786000
CLE,1993,Danny Ferry,3143000
CLE,1993,Brad Daugherty,2923000
CLE,1993,Larry Nance,2775000
CLE,1993,Mark Price,1690000
CLE,1993,Mike Sanders,1100000
CLE,1993,Craig Ehlo,1075000
CLE,1993,John Battle,910000
CLE,1993,Terrell Brandon,682000
CLE,1993,Gerald Wilkins,500000
CLE,1993,Henry James,477000
CLE,1993,Bobby Phills,250000
CLE,1993,Jerome Lane,225000
CLE,1993,Jay Guidinger,140000
CHH,1993,Larry Johnson,2540000
CHH,1993,Alonzo Mourning,2400000
CHH,1993,Kendall Gill,1908000
CHH,1993,Mike Gminski,1415000
CHH,1993,Sidney Green,1288000
CHH,1993,Johnny Newman,1175000
CHH,1993,Tom Hammonds,850000
CHH,1993,Dell Curry,750000
CHH,1993,Muggsy Bogues,700000
CHH,1993,Kenny Gattison,598000
CHH,1993,Kevin Lynch,250000
CHH,1993,Tony Bennett,140000
CHH,1993,David Wingate,129000
CHH,1993,Lorenzo Williams,7000
ATL,1993,Dominique Wilkins,3500000
ATL,1993,Jon Koncak,2450000
ATL,1993,Kevin Willis,2425000
ATL,1993,Blair Rasmussen,1988000
ATL,1993,Roy Hinson,1250000
ATL,1993,Travis Mays,1200000
ATL,1993,Stacey Augmon,1138000
ATL,1993,Adam Keefe,1000000
ATL,1993,Duane Ferrell,825000
ATL,1993,Mookie Blaylock,660000
ATL,1993,Maurice Cheeks,600000
ATL,1993,Paul Graham,500000
ATL,1993,Jeff Sanders,250000
ATL,1993,Morlon Wiley,250000
IND,1993,Reggie Miller,3211000
IND,1993,Rik Smits,2000000
IND,1993,LaSalle Thompson,2000000
IND,1993,Detlef Schrempf,1393000
IND,1993,Vern Fleming,1360000
IND,1993,George McCloud,1040000
IND,1993,Mike Sanders,910000
IND,1993,Pooh Richardson,800000
IND,1993,Malik Sealy,790000
IND,1993,Greg Dreiling,650000
IND,1993,Sam Mitchell,575000
IND,1993,Dale Davis,559000
IND,1993,Sean Green,355000
IND,1993,Kenny Williams,325000
IND,1993,Randy Wittman,300000
DET,1993,Dennis Rodman,2350000
DET,1993,Isiah Thomas,2272000
DET,1993,Mark Aguirre,1351000
DET,1993,Joe Dumars,1339000
DET,1993,Terry Mills,1337000
DET,1993,Bill Laimbeer,1319000
DET,1993,Orlando Woolridge,1108000
DET,1993,Gerald Glass,903000
DET,1993,Olden Polynice,850000
DET,1993,Darrell Walker,735000
DET,1993,Mark Randall,250000
DET,1993,Isaiah Morris,140000
MIL,1993,Moses Malone,2230000
MIL,1993,Frank Brickowski,1800000
MIL,1993,Danny Schayes,1600000
MIL,1993,Sam Vincent,1510000
MIL,1993,Todd Day,1325000
MIL,1993,Alvin Robertson,1283000
MIL,1993,Fred Roberts,866000
MIL,1993,Eric Murdock,700000
MIL,1993,Brad Lohaus,583000
MIL,1993,Lee Mayberry,520000
MIL,1993,Anthony Avent,500000
MIL,1993,Jon Barry,500000
MIL,1993,Blue Edwards,475000
MIL,1993,Anthony Pullard,140000
HOU,1993,Hakeem Olajuwon,3170000
HOU,1993,Otis Thorpe,2102000
HOU,1993,Kenny Smith,1983000
HOU,1993,Sleepy Floyd,1700000
HOU,1993,Vernon Maxwell,1542000
HOU,1993,Dave Jamerson,1034000
HOU,1993,Robert Horry,997000
HOU,1993,Carl Herrera,800000
HOU,1993,Tree Rollins,500000
HOU,1993,Tod Murphy,500000
HOU,1993,Matt Bullard,500000
HOU,1993,Scott Brooks,500000
HOU,1993,Mark Acres,250000
HOU,1993,Kennard Winchester,140000
HOU,1993,Winston Garland,134000
HOU,1993,Curtis Blair,25000
SAS,1993,David Robinson,5720000
SAS,1993,Terry Cummings,2407000
SAS,1993,Willie Anderson,2075000
SAS,1993,Sean Elliott,1802000
SAS,1993,J.R. Reid,1250000
SAS,1993,Antoine Carr,1233000
SAS,1993,Dale Ellis,1000000
SAS,1993,Vinny Del Negro,920000
SAS,1993,Larry Smith,500000
SAS,1993,David Wood,375000
SAS,1993,Vinnie Johnson,210000
SAS,1993,Kevin Pritchard,158000
SAS,1993,Lloyd Daniels,140000
SAS,1993,Avery Johnson,140000
SAS,1993,Sam Mack,140000
SAS,1993,Matt Othick,13000
UTA,1993,Karl Malone,2854000
UTA,1993,John Stockton,2200000
UTA,1993,Jeff Malone,1980000
UTA,1993,Jay Humphries,1800000
UTA,1993,Mark Eaton,1333000
UTA,1993,Mike Brown,1275000
UTA,1993,Tyrone Corbin,1100000
UTA,1993,Larry Krystkowiak,605000
UTA,1993,Isaac Austin,400000
UTA,1993,David Benoit,300000
UTA,1993,Corey Crowder,250000
UTA,1993,John Crotty,140000
UTA,1993,Stephen Howard,140000
UTA,1993,Tim Legler,140000
DEN,1993,Dikembe Mutombo,2400000
DEN,1993,Mahmoud Abdul-Rauf,2358000
DEN,1993,LaPhonso Ellis,1900000
DEN,1993,Mark Macon,1228000
DEN,1993,Reggie Williams,985000
DEN,1993,Bryant Stith,850000
DEN,1993,Kevin Brooks,800000
DEN,1993,Winston Garland,625000
DEN,1993,Scott Hastings,600000
DEN,1993,Anthony Cook,570000
DEN,1993,Todd Lichti,565180
DEN,1993,Marcus Liberty,360000
DEN,1993,Robert Pack,250000
DEN,1993,Robert Werdann,145000
DEN,1993,Gary Plummer,140000
MIN,1993,Chuck Person,2156000
MIN,1993,Christian Laettner,2100000
MIN,1993,Micheal Williams,1775000
MIN,1993,Felton Spencer,1610000
MIN,1993,Luc Longley,1590000
MIN,1993,Doug West,1275000
MIN,1993,Thurl Bailey,1000000
MIN,1993,Brad Sellers,700000
MIN,1993,Lance Blanks,490000
MIN,1993,Marlon Maxey,325000
MIN,1993,Gundars Vetra,275000
MIN,1993,Bob McCann,225000
MIN,1993,Chris Smith,200000
MIN,1993,Reggie Fox,11000
DAL,1993,Derek Harper,2069000
DAL,1993,Doug Smith,1845000
