Team,Year,Player,Salary
DAL,1993,Fat Lever,1802000
DAL,1993,Terry Davis,1537000
DAL,1993,Randy White,930000
DAL,1993,Donald Hodge,650000
DAL,1993,Sean Rooks,375000
DAL,1993,Tracy Moore,250000
DAL,1993,Mike Iuzzolino,241000
DAL,1993,Brian Howard,200000
DAL,1993,Steve Bardo,150000
DAL,1993,Walter Bond,150000
DAL,1993,Dexter Cambridge,150000
DAL,1993,John Shasky,150000
DAL,1993,Radisav Curcic,140000
DAL,1993,Walter Palmer,140000
DAL,1993,Roy Tarpley,80000
PHO,1993,Charles Barkley,2420000
PHO,1993,Tom Chambers,1885000
PHO,1993,Kevin Johnson,1850000
PHO,1993,Danny Ainge,1330000
PHO,1993,Kurt Rambis,1100000
PHO,1993,Mark West,1000000
PHO,1993,Jerrod Mustaf,904000
PHO,1993,Ed Nealy,800000
PHO,1993,Dan Majerle,735000
PHO,1993,Oliver Miller,517000
PHO,1993,Tim Kempton,500000
PHO,1993,Negele Knight,469000
PHO,1993,Cedric Ceballos,350000
PHO,1993,Richard Dumas,140000
PHO,1993,Frank Johnson,140000
PHO,1993,Alex Stivrins,140000
SEA,1993,Benoit Benjamin,3175000
SEA,1993,Gary Payton,2183000
SEA,1993,Ricky Pierce,2000000
SEA,1993,Michael Cage,1390000
SEA,1993,Derrick McKey,1162000
SEA,1993,Eddie Johnson,1100000
SEA,1993,Nate McMillan,750000
SEA,1993,Shawn Kemp,650000
SEA,1993,Rich King,600000
SEA,1993,Dana Barros,500000
SEA,1993,Gerald Paddio,190000
SEA,1993,Vincent Askew,180000
SEA,1993,Steve Scheffler,140000
SEA,1993,Corey Gaines,13000
POR,1993,Jerome Kersey,2655000
POR,1993,Kevin Duckworth,2213000
POR,1993,Terry Porter,2200000
POR,1993,Buck Williams,1850000
POR,1993,Clifford Robinson,1665000
POR,1993,Clyde Drexler,1378000
POR,1993,Rod Strickland,1200000
POR,1993,Mark Bryant,1100000
POR,1993,Tracy Murray,725000
POR,1993,Mario Elie,608000
POR,1993,Dave Johnson,500000
POR,1993,Reggie Smith,275000
LAC,1993,Danny Manning,2600000
LAC,1993,Ron Harper,2220000
LAC,1993,Stanley Roberts,1900000
LAC,1993,Mark Jackson,1790000
LAC,1993,Ken Norman,1275000
LAC,1993,Gary Grant,1128000
LAC,1993,Loy Vaught,1100000
LAC,1993,John Williams,800000
LAC,1993,Randy Woods,500000
LAC,1993,Elmore Spencer,438000
LAC,1993,James Edwards,250000
LAC,1993,Jaren Jackson,140000
LAC,1993,Kiki Vandeweghe,140000
LAC,1993,Tito Horford,7000
LAL,1993,Vlade Divac,3633000
LAL,1993,Sam Perkins,3047000
LAL,1993,Magic Johnson,2500000
LAL,1993,James Worthy,1850000
LAL,1993,A.C. Green,1750000
LAL,1993,Byron Scott,1100000
LAL,1993,James Edwards,1000000
LAL,1993,Sedale Threatt,796000
LAL,1993,Anthony Peeler,700000
LAL,1993,Elden Campbell,575000
LAL,1993,Tony Smith,450000
LAL,1993,Jack Haley,390000
LAL,1993,Sean Higgins,250000
LAL,1993,Keith Owens,250000
LAL,1993,Alex Blackwell,140000
LAL,1993,Duane Cooper,140000
LAL,1993,Cliff Robinson,140000
LAL,1993,Rory Sparrow,140000
GSW,1993,Chris Mullin,2844000
GSW,1993,Billy Owens,1962000
GSW,1993,Sarunas Marciulionis,1500000
GSW,1993,Tyrone Hill,1400000
GSW,1993,Alton Lister,1283000
GSW,1993,Jim Petersen,1221000
GSW,1993,Victor Alexander,942000
GSW,1993,Chris Gatling,910000
GSW,1993,Tim Hardaway,690000
GSW,1993,Tom Tolbert,606000
GSW,1993,Jeff Grayer,550000
GSW,1993,Latrell Sprewell,550000
GSW,1993,Byron Houston,500000
GSW,1993,Jud Buechler,375000
GSW,1993,Keith Jennings,140000
SAC,1993,Ralph Sampson,2685000
SAC,1993,Wayman Tisdale,2333000
SAC,1993,Lionel Simmons,1464000
SAC,1993,Spud Webb,1317000
SAC,1993,Walt Williams,1275000
SAC,1993,Mitch Richmond,1036000
SAC,1993,Duane Causwell,950000
SAC,1993,Anthony Bonner,763000
SAC,1993,Pete Chilcutt,630000
SAC,1993,Les Jepsen,504000
SAC,1993,Jim Les,413000
SAC,1993,Randy Brown,250000
SAC,1993,Marty Conlon,200000
SAC,1993,Stan Kimbrough,133000
