Team,Year,Player,Salary
NYK,1994,Patrick Ewing,3825000
NYK,1994,Charles Smith,2557000
NYK,1994,Rolando Blackman,1995000
NYK,1994,Charles Oakley,1950000
NYK,1994,Derek Harper,1927000
NYK,1994,Herb Williams,1600000
NYK,1994,Greg Anthony,1269000
NYK,1994,Bo Kimble,1150000
NYK,1994,John Starks,1112000
NYK,1994,Doc Rivers,1110000
NYK,1994,Anthony Mason,1100000
NYK,1994,Tim McCormick,850000
NYK,1994,Hubert Davis,764000
NYK,1994,Anthony Bonner,650000
NYK,1994,Eric Anderson,250000
ORL,1994,Shaquille O'Neal,3900000
ORL,1994,Dennis Scott,2820000
ORL,1994,Nick Anderson,2670000
ORL,1994,Scott Skiles,1722000
ORL,1994,Terry Catledge,1386000
ORL,1994,Jerry Reynolds,1288000
ORL,1994,Anfernee Hardaway,1244000
ORL,1994,Greg Kite,985000
ORL,1994,Anthony Bowie,900000
ORL,1994,Donald Royal,890000
ORL,1994,Anthony Avent,650000
ORL,1994,Larry Krystkowiak,644000
ORL,1994,Todd Lichti,565000
ORL,1994,Litterial Green,250000
ORL,1994,Lester Conner,25000
NJN,1994,Benoit Benjamin,3575000
NJN,1994,Derrick Coleman,3440000
NJN,1994,Kenny Anderson,2925000
NJN,1994,Chris Morris,1785000
NJN,1994,Johnny Newman,1435000
NJN,1994,Kevin Edwards,1200000
NJN,1994,Armen Gilliam,1200000
NJN,1994,Jayson Williams,950000
NJN,1994,Dwayne Schintzius,921000
NJN,1994,Rick Mahorn,650000
NJN,1994,Rex Walters,650000
NJN,1994,Tate George,626000
NJN,1994,P.J. Brown,600000
NJN,1994,David Wesley,150000
MIA,1994,Rony Seikaly,3057000
MIA,1994,John Salley,2452000
MIA,1994,Steve Smith,2252000
MIA,1994,Glen Rice,2002000
MIA,1994,Brian Shaw,1513000
MIA,1994,Grant Long,1410000
MIA,1994,Harold Miner,1186000
MIA,1994,Willie Burton,1002000
MIA,1994,Alec Kessler,922000
MIA,1994,Bimbo Coles,802000
MIA,1994,Manute Bol,650000
MIA,1994,Keith Askins,313000
MIA,1994,Matt Geiger,250000
BOS,1994,Robert Parish,4000000
BOS,1994,Sherman Douglas,2300000
BOS,1994,Xavier McDaniel,2145000
BOS,1994,Dino Radja,1650000
BOS,1994,Ed Pinckney,1470000
BOS,1994,Kevin Gamble,1100000
BOS,1994,Dee Brown,1025000
BOS,1994,Stojko Vrankovic,831000
BOS,1994,Alaa Abdelnaby,805000
BOS,1994,Rick Fox,755000
BOS,1994,Acie Earl,650000
BOS,1994,John Bagley,600000
BOS,1994,Lorenzo Williams,250000
BOS,1994,Chris Corchiani,150000
BOS,1994,Matt Wenstrom,150000
PHI,1994,Shawn Bradley,2700000
PHI,1994,Johnny Dawkins,2100000
PHI,1994,Jeff Hornacek,1946000
PHI,1994,Tim Perry,1550000
PHI,1994,Sidney Green,1512000
PHI,1994,Moses Malone,1200000
PHI,1994,Clarence Weatherspoon,1040000
PHI,1994,Dana Barros,750000
PHI,1994,Greg Graham,700000
PHI,1994,Brian Oliver,456000
PHI,1994,Sean Green,400000
PHI,1994,Ron Anderson,300000
PHI,1994,Eric Leckner,300000
PHI,1994,Michael Curry,150000
PHI,1994,Orlando Woolridge,150000
PHI,1994,Eddie Lee Wilkins,100000
WSB,1994,Kevin Duckworth,2313000
WSB,1994,Pervis Ellison,2300000
WSB,1994,Rex Chapman,2004000
WSB,1994,Calbert Cheaney,2000000
WSB,1994,Tom Gugliotta,1625000
WSB,1994,Michael Adams,1309000
WSB,1994,LaBradford Smith,940000
WSB,1994,Buck Johnson,715000
WSB,1994,Don MacLean,601000
WSB,1994,Larry Stewart,600000
WSB,1994,Gheorghe Muresan,500000
WSB,1994,Doug Overton,500000
WSB,1994,Kenny Walker,400000
WSB,1994,Brent Price,283000
WSB,1994,Mitchell Butler,150000
ATL,1994,Dominique Wilkins,3500000
ATL,1994,Jon Koncak,2900000
ATL,1994,Kevin Willis,2625000
ATL,1994,Blair Rasmussen,2457000
ATL,1994,Mookie Blaylock,1630000
ATL,1994,Roy Hinson,1445000
ATL,1994,Stacey Augmon,1400000
ATL,1994,Andrew Lang,1228000
ATL,1994,Adam Keefe,1200000
ATL,1994,Craig Ehlo,1200000
ATL,1994,Duane Ferrell,1025000
ATL,1994,Doug Edwards,650000
ATL,1994,Paul Graham,600000
ATL,1994,Greg Foster,250000
ATL,1994,Steve Henson,250000
ATL,1994,Ennis Whatley,150000
CHI,1994,Michael Jordan,4000000
CHI,1994,Scottie Pippen,3075000
CHI,1994,Bill Cartwright,2400000
CHI,1994,Horace Grant,1950000
CHI,1994,Stacey King,1600000
CHI,1994,Will Perdue,1200000
CHI,1994,Toni Kukoc,1025000
CHI,1994,John Paxson,800000
CHI,1994,Scott Williams,641000
CHI,1994,B.J. Armstrong,620000
CHI,1994,Corie Blount,620000
CHI,1994,A.J. English,150000
CHI,1994,Steve Kerr,150000
CHI,1994,Pete Myers,150000
CHI,1994,Bill Wennington,150000
IND,1994,Reggie Miller,3011000
IND,1994,Rik Smits,2500000
IND,1994,LaSalle Thompson,2000000
IND,1994,Pooh Richardson,1694000
IND,1994,Vern Fleming,1560000
IND,1994,Derrick McKey,1262000
IND,1994,Malik Sealy,1023000
IND,1994,Scott Haskin,833000
IND,1994,Sam Mitchell,715000
IND,1994,Dale Davis,688000
IND,1994,Byron Scott,650000
IND,1994,Antonio Davis,565000
IND,1994,Kenny Williams,375000
IND,1994,Haywoode Workman,320000
CLE,1994,Hot Rod Williams,3786000
CLE,1994,Danny Ferry,3543000
CLE,1994,Brad Daugherty,3541000
CLE,1994,Mark Price,2850000
CLE,1994,Larry Nance,2840000
CLE,1994,Gerald Wilkins,2278000
CLE,1994,John Battle,1120000
CLE,1994,Tyrone Hill,1075000
CLE,1994,Terrell Brandon,840000
CLE,1994,Chris Mills,650000
CLE,1994,Gerald Madkins,475000
CLE,1994,Bobby Phills,313000
CLE,1994,Jay Guidinger,250000
CLE,1994,Sedric Toney,150000
CHH,1994,Larry Johnson,3125000
CHH,1994,Alonzo Mourning,3120000
CHH,1994,Hersey Hawkins,2400000
CHH,1994,Mike Gminski,1850000
CHH,1994,Kenny Gattison,1250000
CHH,1994,Rumeal Robinson,1240000
CHH,1994,Eddie Johnson,1150000
CHH,1994,Dell Curry,1040000
CHH,1994,Muggsy Bogues,900000
CHH,1994,Scott Burrell,650000
CHH,1994,David Wingate,570000
CHH,1994,Kevin Lynch,325000
CHH,1994,Tony Bennett,182000
CHH,1994,LeRon Ellis,150000
MIL,1994,Frank Brickowski,1850000
MIL,1994,Danny Schayes,1750000
MIL,1994,Todd Day,1723000
MIL,1994,Orlando Woolridge,1542000
MIL,1994,Ken Norman,1510000
MIL,1994,Blue Edwards,1500000
MIL,1994,Brad Lohaus,958000
MIL,1994,Vin Baker,866000
MIL,1994,Eric Murdock,800000
MIL,1994,Lee Mayberry,670000
MIL,1994,Jon Barry,650000
MIL,1994,Anthony Cook,650000
MIL,1994,Derek Strong,420000
DET,1994,Isiah Thomas,2520000
DET,1994,Sean Elliott,1807000
DET,1994,Terry Mills,1614000
DET,1994,Mark Macon,1498000
DET,1994,Mark Aguirre,1471000
DET,1994,Bill Laimbeer,1300000
DET,1994,Joe Dumars,1280000
DET,1994,Lindsey Hunter,902000
DET,1994,Olden Polynice,850000
DET,1994,Allan Houston,736000
DET,1994,Greg Anderson,650000
DET,1994,Marcus Liberty,650000
DET,1994,David Wood,488000
DET,1994,Tracy Moore,40000
DET,1994,Tod Murphy,20000
