Team,Year,Player,Salary
ORL,1995,Shaquille O'Neal,4800000
ORL,1995,Anfernee Hardaway,4305000
ORL,1995,Dennis Scott,3240000
ORL,1995,Nick Anderson,3090000
ORL,1995,Horace Grant,2125000
ORL,1995,Terry Catledge,1685700
ORL,1995,Jerry Reynolds,1667500
ORL,1995,Greg Kite,1195000
ORL,1995,Jeff Turner,1100000
ORL,1995,Donald Royal,1000000
ORL,1995,Anthony Bowie,900000
ORL,1995,Anthony Avent,800000
ORL,1995,Tree Rollins,735000
ORL,1995,Brian Shaw,692900
ORL,1995,Brooks Thompson,650000
ORL,1995,Geert Hammink,250000
ORL,1995,Larry Krystkowiak,210000
ORL,1995,Todd Lichti,200000
ORL,1995,Rodney Dent,150000
ORL,1995,Greg Grant,150000
ORL,1995,Mike Iuzzolino,97500
ORL,1995,Keith Tower,26316
NYK,1995,Patrick Ewing,4486700
NYK,1995,Charles Smith,2857000
NYK,1995,Derek Harper,2382700
NYK,1995,Charles Oakley,2200000
NYK,1995,Greg Anthony,1471000
NYK,1995,Bo Kimble,1435000
NYK,1995,Doc Rivers,1405000
NYK,1995,John Starks,1362500
NYK,1995,Rolando Blackman,1340000
NYK,1995,Doug Christie,1244000
NYK,1995,Anthony Mason,1200000
NYK,1995,Herb Williams,1000000
NYK,1995,Hubert Davis,940000
NYK,1995,Anthony Bonner,845000
NYK,1995,Monty Williams,650000
NYK,1995,Charlie Ward,555000
NYK,1995,Tim McCormick,225000
NYK,1995,Ron Grandison,150000
BOS,1995,Dominique Wilkins,2820000
BOS,1995,Sherman Douglas,2731000
BOS,1995,Xavier McDaniel,2640000
BOS,1995,Dee Brown,2500000
BOS,1995,Dino Radja,2145000
BOS,1995,Rick Fox,1750000
BOS,1995,Blue Edwards,1700000
BOS,1995,Pervis Ellison,1100000
BOS,1995,Acie Earl,845000
BOS,1995,Stojko Vrankovic,831000
BOS,1995,Eric Montross,800000
BOS,1995,Derek Strong,500000
BOS,1995,Greg Minor,250000
BOS,1995,David Wesley,250000
BOS,1995,Tony Harris,150000
BOS,1995,Matt Wenstrom,150000
MIA,1995,Kevin Willis,2975000
MIA,1995,Billy Owens,2867000
MIA,1995,John Salley,2652000
MIA,1995,Glen Rice,2600000
MIA,1995,Harold Miner,1459000
MIA,1995,Matt Geiger,1402000
MIA,1995,Alec Kessler,1402000
MIA,1995,Khalid Reeves,1300000
MIA,1995,Willie Burton,1052000
MIA,1995,Bimbo Coles,902000
MIA,1995,Kevin Gamble,650000
MIA,1995,Keith Askins,406000
MIA,1995,Brad Lohaus,325000
MIA,1995,Ledell Eackles,150000
NJN,1995,Derrick Coleman,4212000
NJN,1995,Benoit Benjamin,3774600
NJN,1995,Kenny Anderson,3463200
NJN,1995,Chris Morris,2060000
NJN,1995,Kevin Edwards,1560000
NJN,1995,Armen Gilliam,1560000
NJN,1995,Dwayne Schintzius,1197000
NJN,1995,Jayson Williams,1100000
NJN,1995,Yinka Dare,920000
NJN,1995,Rex Walters,845000
NJN,1995,Rick Mahorn,800000
NJN,1995,P.J. Brown,780000
NJN,1995,Sean Higgins,500000
NJN,1995,Chris Childs,150000
NJN,1995,Sleepy Floyd,150000
NJN,1995,Ryan Lothridge,50000
PHI,1995,Clarence Weatherspoon,4000000
PHI,1995,Shawn Bradley,3510000
PHI,1995,Sharone Wright,2020000
PHI,1995,Jeff Malone,1930000
PHI,1995,Tim Perry,1750000
PHI,1995,Johnny Dawkins,1680000
PHI,1995,Scott Williams,1500000
PHI,1995,Dana Barros,937500
PHI,1995,Greg Graham,910000
PHI,1995,B.J. Tyler,715000
PHI,1995,Moses Malone,300000
PHI,1995,Derrick Alston,150000
PHI,1995,Willie Burton,150000
PHI,1995,Jaren Jackson,140350
PHI,1995,Lloyd Daniels,11400
PHI,1995,Tate George,5260
